1248272276.038 16 2.148 0.025
1248272276.727 2 3.387 0.006
1248272277.773 2 3.309 -0.015
1248272277.773 16 2.033 0.024
1248272278.237 2 3.272 -0.023
1248272278.969 16 1.946 0.040
1248272279.453 2 3.165 -0.051
1248272280.199 2 3.118 -0.070
1248272280.431 2 3.098 -0.076
1248272280.664 2 3.065 -0.080
1248272280.664 16 1.826 0.043
1248272280.844 2 3.065 -0.080
1248272280.844 16 1.826 0.043
1248272280.995 2 3.065 -0.080
1248272280.995 16 1.826 0.043
1248272281.225 2 3.011 -0.089
1248272281.225 16 1.782 0.058
1248272282.381 2 2.912 -0.121
1248272282.381 16 1.710 0.039
1248272282.839 16 1.677 -0.031
1248272283.300 2 2.793 -0.217
1248272283.300 16 1.645 -0.014
1248272283.986 16 1.597 -0.050
1248272284.671 16 1.512 -0.228
1248272284.671 11 2.876 0.301
1248272284.900 16 1.472 -0.281
1248272284.900 11 2.897 0.256
1248272285.131 16 1.435 -0.344
1248272285.131 11 2.912 0.196
1248272285.364 11 2.922 0.164
1248272286.061 11 2.871 0.168
1248272286.297 11 2.866 0.170
1248272286.533 11 2.841 0.173
1248272286.769 11 2.819 0.174
1248272287.240 16 1.256 -0.447
1248272287.240 11 2.800 0.177
1248272287.711 11 2.760 0.177
1248272288.181 11 2.729 0.178
1248272288.889 11 2.683 0.180
1248272289.361 11 2.673 0.175
1248272289.593 11 2.642 0.184
1248272289.825 11 2.557 0.276
1248272290.057 11 2.560 0.269
1248272290.289 11 2.552 0.272
1248272290.522 11 2.530 0.272
1248272290.753 11 2.513 0.293
1248272290.981 11 2.430 0.373
1248272291.444 11 2.411 0.415
1248272291.675 11 2.372 0.417
1248272296.544 14 3.690 -0.224
1248272297.051 14 3.738 -0.107
1248272297.319 2 1.814 -0.210
1248272297.554 2 1.823 -0.124
1248272297.555 14 3.738 0.035
1248272297.788 2 1.828 -0.087
1248272298.021 2 1.814 -0.038
1248272298.956 2 1.761 0.142
1248272299.191 2 1.731 0.184
1248272299.429 2 1.691 0.241
1248272299.666 13 2.926 -0.001
1248272299.903 12 3.838 -0.309
1248272299.903 2 1.648 0.303
1248272300.142 3 4.364 -0.034
1248272300.142 13 2.912 0.082
1248272300.382 12 3.890 -0.241
1248272300.382 13 2.909 0.091
1248272300.625 3 4.364 0.003
1248272300.625 2 1.572 0.367
1248272300.865 3 4.311 0.005
1248272300.865 2 1.568 0.350
1248272301.347 3 4.298 0.015
1248272301.347 2 1.543 0.344
1248272301.588 3 4.364 0.017
1248272301.588 17 5.062 0.069
1248272301.588 2 1.539 0.334
1248272301.831 12 3.838 -0.234
1248272301.831 3 4.298 0.016
1248272301.831 17 5.062 0.065
1248272301.831 13 2.855 0.108
1248272301.831 2 1.526 0.329
1248272302.076 12 3.801 -0.238
1248272302.076 6 8.210 -0.190
1248272302.076 3 4.298 0.020
1248272302.076 17 5.062 0.066
1248272302.076 13 2.841 0.101
1248272302.318 17 5.062 0.064
1248272302.560 12 3.812 -0.242
1248272302.561 3 4.235 0.027
1248272302.561 17 5.062 0.064
1248272302.561 13 2.837 0.101
1248272302.561 2 1.497 0.306
1248272303.044 12 3.793 -0.241
1248272303.045 3 4.235 0.034
1248272303.045 17 5.035 0.066
1248272303.045 13 2.820 0.103
1248272303.045 2 1.466 0.292
1248272303.286 12 3.780 -0.240
1248272303.286 3 4.266 0.038
1248272303.286 17 5.062 0.067
1248272303.286 13 2.800 0.114
1248272303.286 2 1.457 0.293
1248272303.528 12 3.780 -0.239
1248272303.529 17 5.062 0.074
1248272303.529 13 2.802 0.105
1248272303.529 2 1.445 0.289
1248272303.770 12 3.787 -0.234
1248272303.771 3 4.235 0.050
1248272303.771 17 5.018 0.069
1248272303.771 13 2.795 0.115
1248272303.771 2 1.434 0.285
1248272304.013 12 3.747 -0.237
1248272304.013 3 4.173 0.056
1248272304.013 17 5.018 0.071
1248272304.013 13 2.779 0.106
1248272304.014 2 1.420 0.280
1248272304.014 4 3.098 0.372
1248272304.256 12 3.738 -0.239
1248272304.256 17 4.974 0.072
1248272304.256 13 2.774 0.108
1248272304.256 4 3.089 0.373
1248272304.497 12 3.743 -0.237
1248272304.497 3 4.203 0.060
1248272304.498 17 4.974 0.077
1248272304.498 4 3.065 0.371
1248272305.222 12 3.719 -0.245
1248272305.222 8 7.100 0.042
1248272305.222 3 4.133 0.073
1248272305.222 13 2.735 0.110
1248272305.222 2 1.359 0.248
1248272305.223 4 3.002 0.382
1248272305.464 12 3.735 -0.242
1248272305.464 6 8.130 -0.186
1248272305.464 17 4.974 0.064
1248272305.464 13 2.729 0.108
1248272305.464 2 1.349 0.237
1248272305.464 4 2.941 0.388
1248272305.710 12 3.703 -0.241
1248272305.710 6 8.130 -0.189
1248272305.710 8 7.100 0.040
1248272305.710 17 4.974 0.069
1248272305.710 13 2.720 0.110
1248272305.710 2 1.331 0.239
1248272305.710 4 2.912 0.391
1248272305.952 12 3.690 -0.242
1248272305.952 17 4.938 0.071
1248272305.952 13 2.714 0.110
1248272305.952 2 1.314 0.233
1248272305.952 4 2.880 0.395
1248272306.193 12 3.643 -0.244
1248272306.193 17 4.939 0.070
1248272306.193 13 2.697 0.103
1248272306.193 2 1.302 0.222
1248272306.915 12 3.643 -0.248
1248272306.915 6 8.130 -0.191
1248272306.916 17 4.888 0.069
1248272307.158 12 3.633 -0.250
1248272307.158 6 8.130 -0.194
1248272307.158 17 4.881 0.069
1248272307.399 12 3.605 -0.249
1248272307.400 17 4.846 0.073
1248272307.400 13 2.625 0.111
1248272307.400 4 2.722 0.413
1248272307.647 17 4.805 0.077
1248272308.657 4 2.729 0.276
1248272309.154 4 2.697 0.278
1248272309.627 17 4.655 -0.104
1248272309.627 4 2.655 0.282
1248272309.865 4 2.625 0.285
1248272310.569 4 2.579 0.222
1248272311.546 4 2.505 0.159
1248272312.246 4 2.465 0.096
1248272312.947 4 2.378 0.051
1248272313.414 14 3.033 0.187
1248272313.881 4 2.289 0.022
1248272314.114 14 3.005 0.161
1248272314.345 4 2.253 -0.019
1248272314.577 14 3.002 0.124
1248272315.041 4 2.169 -0.023
1248272315.270 14 2.971 0.074
1248272315.500 14 2.945 0.032
1248272315.730 14 2.933 -0.031
1248272316.183 14 2.883 -0.123
1248272316.641 14 2.834 -0.171
1248272316.870 14 2.827 -0.166
1248272317.101 4 1.929 -0.257
1248272317.333 14 2.800 -0.169
1248272317.566 4 1.893 -0.230
1248272318.031 4 1.858 -0.229
1248272318.265 4 1.848 -0.224
1248272318.265 14 2.714 -0.168
1248272318.513 14 2.722 -0.172
1248272318.784 4 1.825 -0.208
1248272318.784 14 2.695 -0.171
1248272319.040 4 1.807 -0.200
1248272319.040 14 2.673 -0.166
1248272319.273 4 1.789 -0.197
1248272319.273 14 2.673 -0.170
1248272319.733 4 1.782 -0.106
1248272319.965 4 1.772 -0.081
1248272320.658 4 1.731 0.038
1248272320.894 4 1.722 0.070
1248272321.596 4 1.666 0.091
1248272322.534 14 2.513 0.054
1248272322.534 4 1.608 0.124
1248272322.826 10 6.034 -0.143
1248272323.077 4 1.569 0.131
1248272324.077 4 1.522 0.134
1248272324.554 14 2.376 0.088
1248272324.554 4 1.484 0.150
1248272325.028 14 2.356 0.095
1248272325.028 4 1.461 0.165
1248272325.740 4 1.397 0.171
1248272325.977 10 5.908 -0.127
1248272325.977 4 1.384 0.174
1248272326.456 4 1.377 0.173
1248272326.700 10 5.908 -0.119
1248272326.701 14 2.255 0.107
1248272326.701 4 1.375 0.180
1248272326.943 10 5.787 -0.119
1248272326.943 14 2.258 0.107
1248272326.943 4 1.372 0.179
1248272327.184 10 5.787 -0.114
1248272327.184 14 2.255 0.107
1248272327.184 4 1.368 0.185
1248272327.424 14 2.246 0.107
1248272327.424 4 1.369 0.191
1248272327.901 10 5.787 -0.085
1248272327.901 14 2.223 0.139
1248272327.901 4 1.349 0.244
1248272328.140 14 2.202 0.151
1248272328.141 4 1.327 0.270
1248272329.095 14 2.128 0.182
1248272329.095 4 1.248 0.352
1248272329.335 4 1.233 0.372
1248272329.603 10 5.671 -0.052
1248272329.603 14 2.097 0.177
1248272329.604 4 1.217 0.383
1248272330.841 14 2.001 0.200
1248272331.321 14 1.957 0.219
1248272331.818 10 5.559 -0.046
1248272331.819 14 1.932 0.204
1248272332.816 14 1.864 0.207
1248272333.064 14 1.825 0.239
1248272333.304 10 5.452 -0.034
1248272333.541 10 5.452 -0.041
1248272333.541 14 1.799 0.219
1248272334.253 10 5.410 -0.037
1248272334.253 14 1.747 0.230
1248272334.494 14 1.729 0.235
1248272335.947 10 5.250 -0.031
1248272335.947 14 1.632 0.261
1248272336.182 10 5.250 -0.036
1248272336.418 14 1.595 0.263
1248272336.890 14 1.556 0.273
1248272338.072 10 5.154 -0.009
1248272338.309 10 5.154 -0.016
1248272338.310 14 1.440 0.312
1248272338.548 14 1.415 0.313
1248272339.025 10 5.062 -0.020
1248272339.496 14 1.380 0.338
1248272340.213 10 4.982 -0.009
1248272340.213 14 1.337 0.319
1248272340.449 10 4.974 -0.022
1248272340.449 14 1.302 0.346
1248272341.181 10 4.927 0.002
1248272341.182 14 1.266 0.341
1248272341.673 10 4.888 -0.009
1248272341.916 10 4.888 -0.003
1248272341.916 14 1.211 0.359
1248272342.630 10 4.805 0.009
1248272342.630 14 1.144 0.397
1248272342.867 10 4.805 0.001
1248272343.103 10 4.771 -0.004
1248272343.341 10 4.805 -0.003
1248272343.579 10 4.805 0.010
1248272343.841 10 4.805 0.006
1248272343.841 14 1.058 0.423
1248272344.320 10 4.726 0.016
1248272345.252 10 4.649 0.012
1248272346.727 10 4.502 0.024
1248272346.959 10 4.515 0.025
1248272347.427 10 4.502 0.014
1248272348.361 10 4.432 0.030
1248272349.291 10 4.305 0.038
1248272349.989 10 4.239 0.036
1248272350.455 10 4.245 0.043
1248272352.320 9 2.971 -0.253
1248272352.555 3 2.886 -0.465
1248272352.555 9 2.941 -0.260
1248272352.791 9 2.933 -0.256
1248272352.791 10 3.998 0.266
1248272353.026 9 2.909 -0.254
1248272353.262 9 2.904 -0.259
1248272353.497 9 2.883 -0.253
1248272353.969 10 3.890 0.278
1248272354.438 9 2.836 -0.263
1248272354.673 9 2.808 -0.263
1248272354.673 10 3.890 0.274
1248272354.907 9 2.789 -0.271
1248272355.141 10 3.838 0.280
1248272355.847 9 2.722 -0.272
1248272356.780 10 3.787 0.212
1248272358.182 10 3.738 0.096
1248272358.416 10 3.704 0.087
1248272358.651 10 3.698 0.091
1248272359.121 10 3.690 0.102
1248272359.356 10 3.667 0.096
1248272359.826 10 3.630 0.099
1248272360.528 10 3.571 0.105
1248272360.999 10 3.515 0.117
1248272361.233 10 3.516 0.120
1248272361.469 10 3.490 0.117
1248272361.704 10 3.491 0.115
1248272362.643 10 3.402 0.129
1248272362.877 10 3.390 0.140
1248272363.113 10 3.390 0.134
1248272363.579 10 3.348 0.146
1248272364.751 10 3.272 0.144
1248272365.220 10 3.212 0.165
1248272365.691 10 3.172 0.150
1248272365.929 10 3.140 0.154
1248272367.104 10 3.069 0.162
1248272367.350 10 3.016 0.173
1248272367.851 10 3.007 0.186
1248272368.099 10 2.983 0.179
1248272368.350 10 2.973 0.185
1248272368.592 10 2.945 0.194
1248272369.064 10 2.912 0.187
1248272369.302 10 2.915 0.187
1248272369.776 10 2.883 0.200
1248272370.012 10 2.827 0.211
1248272370.976 10 2.778 0.212
1248272371.444 10 2.742 0.218
1248272371.910 10 2.722 0.222
1248272372.379 10 2.662 0.229
1248272373.081 10 2.626 0.232
1248272373.548 10 2.619 0.227
1248272374.015 10 2.585 0.239
1248272374.482 10 2.529 0.244
1248272374.949 10 2.503 0.241
1248272375.416 10 2.477 0.242
1248272375.880 10 2.435 0.247
1248272376.347 10 2.416 0.246
1248272377.740 10 2.335 0.255
1248272377.975 10 2.322 0.259
1248272378.213 10 2.303 0.260
1248272378.450 10 2.286 0.259
1248272378.916 10 2.257 0.262
1248272379.149 10 2.250 0.264
1248272379.383 10 2.225 0.263
1248272379.615 10 2.213 0.264
1248272380.082 10 2.161 0.278
1248272381.477 10 2.079 0.289
1248272381.709 10 2.057 0.285
1248272382.875 10 1.971 0.297
1248272383.339 10 1.950 0.304
1248272384.497 10 1.922 0.225
1248272384.728 10 1.932 0.195
1248272384.960 10 1.929 0.148
1248272385.190 10 1.920 0.113
1248272385.421 10 1.914 0.080
1248272385.653 10 1.901 0.047
1248272385.884 10 1.893 -0.004
1248272386.114 10 1.875 -0.067
1248272386.345 10 1.864 -0.077
1248272386.575 10 1.815 -0.149
1248272386.804 10 1.791 -0.186
1248272387.268 10 1.743 -0.256
1248272387.966 10 1.685 -0.305
1248272388.202 10 1.667 -0.314
1248272388.674 10 1.633 -0.323
1248272389.665 10 1.574 -0.325
1248272390.368 10 1.504 -0.388
1248272412.272 4 1.273 0.370
1248272412.993 4 1.274 0.353
1248272413.232 4 1.274 0.356
1248272414.243 4 1.270 0.351
1248272414.492 4 1.266 0.351
1248272415.239 4 1.269 0.339
1248272426.952 14 2.047 0.386
1248272427.191 14 2.108 0.270
1248272427.430 14 2.134 0.195
1248272427.669 14 2.150 0.125
1248272427.909 14 2.134 0.006
1248272428.150 14 2.132 -0.077
1248272428.150 15 6.034 0.058
1248272428.150 13 3.598 0.251
1248272428.388 14 2.074 -0.191
1248272428.389 13 3.690 0.133
1248272428.627 14 2.024 -0.270
1248272428.628 15 6.034 -0.136
1248272428.628 13 3.690 0.064
1248272428.628 3 2.086 0.292
1248272428.869 14 1.980 -0.349
1248272429.109 14 1.854 -0.482
1248272429.110 13 3.643 -0.133
1248272429.110 3 2.173 0.096
1248272429.110 12 4.574 0.172
1248272429.110 17 3.033 0.478
1248272429.351 14 1.764 -0.568
1248272429.351 13 3.576 -0.213
