1248272273.862 12 3.375 0.053
1248272273.862 17 1.968 0.559
1248272274.108 12 3.379 0.041
1248272274.355 17 1.940 0.563
1248272274.620 17 1.957 0.557
1248272274.882 12 3.303 0.051
1248272274.882 3 3.037 0.548
1248272274.882 17 1.908 0.567
1248272275.361 12 3.270 0.051
1248272275.361 3 3.009 0.557
1248272275.361 17 1.888 0.571
1248272275.843 12 3.231 0.043
1248272275.843 3 2.973 0.562
1248272276.082 12 3.201 0.051
1248272276.083 3 2.966 0.563
1248272276.561 12 3.198 0.057
1248272276.561 3 2.917 0.567
1248272277.040 12 3.136 0.057
1248272277.041 3 2.889 0.563
1248272277.279 12 3.129 0.057
1248272277.279 3 2.863 0.561
1248272278.206 12 3.065 0.055
1248272278.206 3 2.806 0.548
1248272278.684 12 3.036 0.058
1248272278.684 3 2.757 0.550
1248272278.924 12 3.033 0.060
1248272278.924 3 2.754 0.549
1248272279.163 12 3.033 0.050
1248272279.164 3 2.730 0.545
1248272279.401 12 2.993 0.065
1248272279.401 3 2.699 0.550
1248272279.638 3 2.681 0.545
1248272279.884 3 2.665 0.546
1248272280.358 3 2.619 0.540
1248272280.833 12 2.944 0.051
1248272281.070 3 2.581 0.537
1248272281.220 3 2.581 0.537
1248272281.371 3 2.581 0.537
1248272281.653 12 2.821 0.150
1248272281.936 12 2.825 0.154
1248272282.409 12 2.785 0.159
1248272282.645 12 2.780 0.145
1248272282.883 12 2.727 0.163
1248272283.116 12 2.705 0.219
1248272283.589 12 2.654 0.259
1248272284.061 12 2.618 0.261
1248272284.538 12 2.576 0.256
1248272284.775 12 2.556 0.276
1248272285.015 12 2.497 0.348
1248272285.253 12 2.489 0.349
1248272285.494 12 2.454 0.357
1248272285.734 12 2.462 0.359
1248272285.967 12 2.436 0.361
1248272286.206 12 2.412 0.365
1248272286.679 12 2.307 0.453
1248272287.391 12 2.270 0.465
1248272287.630 12 2.250 0.467
1248272287.869 12 2.232 0.470
1248272288.104 12 2.171 0.513
1248272288.344 12 2.113 0.554
1248272288.587 12 2.109 0.554
1248272288.860 12 2.090 0.559
1248272289.108 12 2.087 0.559
1248272289.352 12 2.049 0.564
1248272290.096 13 1.594 -0.094
1248272290.349 13 1.586 -0.091
1248272290.589 13 1.560 -0.093
1248272290.827 15 4.084 -0.195
1248272291.530 15 4.065 -0.106
1248272291.530 13 1.496 -0.065
1248272292.029 15 3.993 -0.103
1248272292.268 13 1.453 -0.011
1248272292.508 15 3.973 -0.102
1248272292.745 13 1.413 -0.011
1248272292.986 13 1.389 0.044
1248272293.465 13 1.374 0.083
1248272294.404 13 1.250 0.335
1248272294.636 13 1.184 0.466
1248272294.866 15 3.458 0.506
1248272295.332 2 2.332 -0.051
