1248444189.599 2 3.787 -0.257
1248444189.599 15 6.758 -0.005
1248444189.828 14 6.600 -0.022
1248444189.828 15 6.626 0.002
1248444190.059 14 6.561 -0.019
1248444190.289 2 3.787 -0.231
1248444190.519 2 3.777 -0.228
1248444190.519 14 6.448 -0.011
1248444190.519 15 6.600 0.019
1248444190.981 2 3.787 -0.222
1248444190.982 15 6.652 0.017
1248444191.131 2 3.787 -0.222
1248444191.131 15 6.652 0.017
1248444191.315 2 3.787 -0.222
1248444191.315 15 6.652 0.017
1248444191.601 2 3.838 -0.212
1248444191.601 14 6.498 -0.011
1248444191.601 15 6.600 0.015
1248444191.832 2 3.838 -0.214
1248444191.833 3 6.304 -0.157
1248444191.833 14 6.491 -0.009
1248444191.833 15 6.600 0.015
1248444191.833 19 8.632 0.035
1248444192.065 2 3.838 -0.210
1248444192.065 3 6.304 -0.157
1248444192.065 14 6.554 -0.009
1248444192.065 15 6.600 0.020
1248444192.297 2 3.838 -0.211
1248444192.297 14 6.538 -0.009
1248444192.298 15 6.600 0.015
1248444192.298 19 8.632 0.039
1248444192.529 2 3.890 -0.210
1248444192.529 3 6.304 -0.158
1248444192.529 14 6.448 -0.009
1248444192.529 15 6.600 0.015
1248444192.529 19 8.632 0.035
1248444192.762 2 3.890 -0.210
1248444192.762 3 6.304 -0.156
1248444192.762 14 6.448 -0.011
1248444192.762 15 6.600 0.015
1248444192.993 2 3.872 -0.208
1248444192.993 14 6.448 -0.010
1248444192.994 15 6.600 0.015
1248444193.273 14 6.473 -0.011
1248444193.273 19 8.632 0.035
1248444193.501 15 6.600 0.015
1248444193.501 19 8.632 0.035
1248444193.733 2 3.932 -0.209
1248444193.734 14 6.481 -0.009
1248444193.734 15 6.600 0.015
1248444193.734 19 8.632 0.035
1248444193.986 2 3.922 -0.210
1248444193.986 14 6.448 -0.009
1248444193.986 15 6.600 0.015
1248444193.986 19 8.632 0.033
1248444194.219 2 3.943 -0.206
1248444194.219 15 6.626 0.020
1248444194.474 15 6.758 0.022
1248444195.521 3 6.034 -0.155
1248444196.212 15 6.448 0.027
1248444196.677 14 6.304 0.001
1248444196.677 15 6.470 0.028
1248444197.141 15 6.600 0.035
1248444197.373 15 6.448 0.027
1248444197.605 14 6.304 -0.005
1248444197.605 15 6.304 0.025
1248444198.763 15 6.304 -0.006
1248444198.994 3 5.671 -0.178
1248444198.994 14 6.166 -0.035
1248444199.223 15 6.304 -0.008
1248444199.223 19 8.130 0.013
1248444199.448 15 6.304 -0.009
1248444199.449 19 8.130 0.011
1248444199.674 14 6.166 -0.031
1248444199.674 19 8.130 0.010
1248444200.398 19 8.130 0.014
1248444201.326 2 3.643 -0.351
1248444201.559 15 6.166 -0.054
1248444201.792 15 6.166 -0.052
1248444202.021 14 6.034 -0.081
1248444202.477 15 6.034 -0.052
1248444202.937 15 6.034 -0.052
1248444203.244 15 6.034 -0.052
1248444204.635 15 6.034 -0.047
1248444205.331 3 5.154 -0.210
1248444205.331 20 7.479 -0.003
1248444206.026 15 5.908 -0.053
1248444207.188 14 5.671 -0.082
1248444207.188 15 5.787 -0.058
1248444207.422 15 5.787 -0.055
1248444207.656 16 6.925 -0.275
1248444207.656 20 7.479 -0.008
1248444208.121 15 5.787 -0.055
1248444208.586 14 5.671 -0.088
1248444208.586 20 7.479 -0.007
1248444209.280 14 5.559 -0.088
1248444209.731 3 4.805 -0.208
